"","admission.department","discharge.department","flow"
"830","Endocrinology Department","Department of Critical Care Medicine",1
"831","Gastroenterology","Department of Critical Care Medicine",1
"832","Gastroenterology","Department of Critical Care Medicine",1
"833","Gastroenterology","Department of Critical Care Medicine",1
"834","Gastroenterology","Department of Critical Care Medicine",1
"835","Gastroenterology Surgery","Department of Critical Care Medicine",1
"836","Gastroenterology Surgery","Department of Critical Care Medicine",1
"837","Gastroenterology Surgery II","Department of Critical Care Medicine",1
"838","Gynecology","Department of Critical Care Medicine",1
"839","Haematology","Department of Critical Care Medicine",1
"840","Nephropathy Department","Department of Critical Care Medicine",1
"841","Nephropathy Department","Department of Critical Care Medicine",1
"842","Neurology","Department of Critical Care Medicine",1
"843","Neurology","Department of Critical Care Medicine",1
"844","orthopedics","Department of Critical Care Medicine",1
"845","orthopedics","Department of Critical Care Medicine",1
"846","orthopedics","Department of Critical Care Medicine",1
"847","orthopedics","Department of Critical Care Medicine",1
"848","orthopedics","Department of Critical Care Medicine",1
"849","orthopedics","Department of Critical Care Medicine",1
"850","Pancreatic Surgery","Department of Critical Care Medicine",1
"851","Pancreatic Surgery","Department of Critical Care Medicine",1
"852","Respiratory and Critical Care Medicine","Department of Critical Care Medicine",1
"853","Respiratory Medicine","Department of Critical Care Medicine",1
"854","Respiratory Medicine","Department of Critical Care Medicine",1
"855","Rheumatism and Immunology Department","Department of Critical Care Medicine",1
"856","Rheumatism and Immunology Department","Department of Critical Care Medicine",1
"857","Thoracic Surgery","Department of Critical Care Medicine",1
"858","Urology","Department of Critical Care Medicine",1
"859","Urology","Department of Critical Care Medicine",1
"860","Urology","Department of Critical Care Medicine",1
"861","Urology","Department of Critical Care Medicine",1
"862","Urology","Department of Critical Care Medicine",1
"863","Urology","Department of Critical Care Medicine",1
"864","V4 Surgery Comprehensive Ward","Department of Critical Care Medicine",1
"865","Vascular Surgery","Department of Critical Care Medicine",1
"866","Vascular Surgery","Department of Critical Care Medicine",1
"867","Vascular Surgery","Department of Critical Care Medicine",1
"868","Cardiac Large Vascular Surgery","Department of Infectious Diseases",1
"869","Cardiac Large Vascular Surgery","Department of Infectious Diseases",1
"870","Cardiology","Department of Infectious Diseases",1
"871","Cardiology","Department of Infectious Diseases",1
"872","Cardiology","Department of Infectious Diseases",2
"873","Comprehensive internal medicine","Department of Infectious Diseases",1
"874","Comprehensive internal medicine","Department of Infectious Diseases",1
"875","Department of Infectious Diseases","Department of Infectious Diseases",1
"876","Department of Infectious Diseases","Department of Infectious Diseases",1
"877","Department of Infectious Diseases","Department of Infectious Diseases",1
"878","Department of Infectious Diseases","Department of Infectious Diseases",2
"879","Department of Infectious Diseases","Department of Infectious Diseases",1
"880","Department of Infectious Diseases","Department of Infectious Diseases",2
"881","Department of Infectious Diseases","Department of Infectious Diseases",4
"882","Department of Infectious Diseases","Department of Infectious Diseases",3
"883","Department of Infectious Diseases","Department of Infectious Diseases",6
"884","Department of Infectious Diseases","Department of Infectious Diseases",6
"885","Department of Infectious Diseases","Department of Infectious Diseases",4
"886","Department of Infectious Diseases","Department of Infectious Diseases",12
"887","Department of Infectious Diseases","Department of Infectious Diseases",7
"888","Department of Infectious Diseases","Department of Infectious Diseases",5
"889","Department of Infectious Diseases","Department of Infectious Diseases",12
"890","Department of Infectious Diseases","Department of Infectious Diseases",7
"891","Department of Infectious Diseases","Department of Infectious Diseases",6
"892","Department of Infectious Diseases","Department of Infectious Diseases",5
"893","Department of Infectious Diseases","Department of Infectious Diseases",10
"894","Department of Infectious Diseases","Department of Infectious Diseases",10
"895","Department of Infectious Diseases","Department of Infectious Diseases",16
"896","Department of Infectious Diseases","Department of Infectious Diseases",14
"897","Department of Infectious Diseases","Department of Infectious Diseases",19
"898","Department of Infectious Diseases","Department of Infectious Diseases",13
"899","Department of Infectious Diseases","Department of Infectious Diseases",18
"900","Department of Infectious Diseases","Department of Infectious Diseases",12
"901","Department of Infectious Diseases","Department of Infectious Diseases",17
"902","Department of Infectious Diseases","Department of Infectious Diseases",13
"903","Department of Infectious Diseases","Department of Infectious Diseases",15
"904","Department of Infectious Diseases","Department of Infectious Diseases",15
"905","Department of Infectious Diseases","Department of Infectious Diseases",19
"906","Department of Infectious Diseases","Department of Infectious Diseases",9
"907","Department of Infectious Diseases","Department of Infectious Diseases",13
"908","Department of Infectious Diseases","Department of Infectious Diseases",15
"909","Department of Infectious Diseases","Department of Infectious Diseases",13
"910","Department of Infectious Diseases","Department of Infectious Diseases",11
"911","Department of Infectious Diseases","Department of Infectious Diseases",14
"912","Department of Infectious Diseases","Department of Infectious Diseases",9
"913","Department of Infectious Diseases","Department of Infectious Diseases",12
"914","Department of Infectious Diseases","Department of Infectious Diseases",10
"915","Department of Infectious Diseases","Department of Infectious Diseases",8
"916","Department of Infectious Diseases","Department of Infectious Diseases",6
"917","Department of Infectious Diseases","Department of Infectious Diseases",2
"918","Department of Infectious Diseases","Department of Infectious Diseases",2
"919","Department of Infectious Diseases","Department of Infectious Diseases",2
"920","Department of Infectious Diseases","Department of Infectious Diseases",3
"921","Department of Infectious Diseases","Department of Infectious Diseases",1
"922","Department of Infectious Diseases","Department of Infectious Diseases",1
"923","Digestive Oncology Surgery","Department of Infectious Diseases",1
"924","Emergency Surgery","Department of Infectious Diseases",1
"925","Emergency Surgery","Department of Infectious Diseases",1
"926","Emergency Surgery","Department of Infectious Diseases",1
"927","Endocrinology Department","Department of Infectious Diseases",1
"928","Gastroenterology Surgery","Department of Infectious Diseases",1
"929","Hand surgery","Department of Infectious Diseases",1
"930","Hepatobiliary Surgery","Department of Infectious Diseases",1
"931","Neurology","Department of Infectious Diseases",1
"932","Neurosurgery","Department of Infectious Diseases",1
"933","orthopedics","Department of Infectious Diseases",1
"934","Respiratory Medicine","Department of Infectious Diseases",1
"935","Respiratory Medicine","Department of Infectious Diseases",1
"936","Urology","Department of Infectious Diseases",1
"937","Department of L6 Lymphoma","Department of L6 Lymphoma",1
"938","Department of L6 Lymphoma","Department of L6 Lymphoma",1
"939","Department of L6 Lymphoma","Department of L6 Lymphoma",1
"940","Department of L6 Lymphoma","Department of L6 Lymphoma",3
"941","Department of L6 Lymphoma","Department of L6 Lymphoma",3
"942","Department of L6 Lymphoma","Department of L6 Lymphoma",1
"943","Department of L6 Lymphoma","Department of L6 Lymphoma",7
"944","Department of L6 Lymphoma","Department of L6 Lymphoma",3
"945","Department of L6 Lymphoma","Department of L6 Lymphoma",2
"946","Department of L6 Lymphoma","Department of L6 Lymphoma",1
"947","Department of L6 Lymphoma","Department of L6 Lymphoma",1
"948","Department of L6 Lymphoma","Department of L6 Lymphoma",1
"949","dermatology","Department of L6 Lymphoma",1
"950","Department of osteo-soft tissue swelling and chemotherapy","Department of osteo-soft tissue swelling and chemotherapy",1
"951","Department of osteo-soft tissue swelling and chemotherapy","Department of osteo-soft tissue swelling and chemotherapy",4
"952","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",2
"953","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",3
"954","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",4
"955","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",2
"956","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",1
"957","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",2
"958","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",1
"959","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",7
"960","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",1
"961","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",4
"962","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",2
"963","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",1
"964","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",1
"965","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",8
"966","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",3
"967","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",1
"968","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",8
"969","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",1
"970","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",1
"971","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",1
"972","Department of Rehabilitation Medicine","Department of Rehabilitation Medicine",1
"973","Neurology","Department of Rehabilitation Medicine",1
"974","Neurology","Department of Rehabilitation Medicine",1
"975","orthopedics","Department of Rehabilitation Medicine",1
"976","Cardiology","Department of Traditional Chinese Medicine",1
"977","Cardiology","Department of Traditional Chinese Medicine",1
"978","Cardiology","Department of Traditional Chinese Medicine",1
"979","Cardiology","Department of Traditional Chinese Medicine",1
"980","Department of Infectious Diseases","Department of Traditional Chinese Medicine",1
"981","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",1
"982","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",5
"983","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",2
"984","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",1
"985","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",2
"986","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",1
"987","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",1
"988","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",6
"989","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",7
"990","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",5
"991","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",5
"992","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",5
"993","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",7
"994","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",5
"995","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",6
"996","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",9
"997","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",17
"998","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",15
"999","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",22
"1000","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",21
"1001","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",18
"1002","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",21
"1003","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",34
"1004","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",28
"1005","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",28
"1006","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",34
"1007","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",45
"1008","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",31
"1009","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",43
"1010","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",28
"1011","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",28
"1012","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",35
"1013","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",38
"1014","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",42
"1015","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",52
"1016","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",35
"1017","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",50
"1018","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",26
"1019","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",27
"1020","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",38
"1021","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",38
"1022","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",37
"1023","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",36
"1024","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",38
"1025","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",37
"1026","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",28
"1027","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",32
"1028","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",16
"1029","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",15
"1030","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",18
"1031","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",11
"1032","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",5
"1033","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",5
"1034","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",12
"1035","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",2
"1036","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",9
"1037","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",8
"1038","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",2
"1039","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",1
"1040","Department of Traditional Chinese Medicine","Department of Traditional Chinese Medicine",2
"1041","Gastroenterology","Department of Traditional Chinese Medicine",1
"1042","Gastroenterology Surgery II","Department of Traditional Chinese Medicine",1
"1043","Haematology","Department of Traditional Chinese Medicine",1
"1044","Hand surgery","Department of Traditional Chinese Medicine",1
"1045","Hepatobiliary Surgery","Department of Traditional Chinese Medicine",1
"1046","M2 Gynecological Oncology DepartmentⅠ","Department of Traditional Chinese Medicine",1
"1047","Nephropathy Department","Department of Traditional Chinese Medicine",1
"1048","orthopedics","Department of Traditional Chinese Medicine",1
"1049","orthopedics","Department of Traditional Chinese Medicine",1
"1050","orthopedics","Department of Traditional Chinese Medicine",1
"1051","Respiratory Medicine","Department of Traditional Chinese Medicine",1
"1052","Urology","Department of Traditional Chinese Medicine",1
"1053","Z14 Chest Oncology Department II","Department of Traditional Chinese Medicine",1
"1054","Z9 Abdominal Oncology Department","Department of Traditional Chinese Medicine",1
"1055","Z9 Abdominal Oncology Department","Department of Traditional Chinese Medicine",1
"1056","Cardiac Large Vascular Surgery","dermatology",1
"1057","Cardiology","dermatology",1
"1058","Cardiology","dermatology",1
"1059","Cardiology","dermatology",1
"1060","Cardiology","dermatology",1
"1061","Cardiology","dermatology",1
"1062","Comprehensive internal medicine","dermatology",1
"1063","dermatology","dermatology",2
"1064","dermatology","dermatology",1
"1065","dermatology","dermatology",1
"1066","dermatology","dermatology",1
"1067","dermatology","dermatology",5
"1068","dermatology","dermatology",1
"1069","dermatology","dermatology",3
"1070","dermatology","dermatology",4
"1071","dermatology","dermatology",6
"1072","dermatology","dermatology",8
"1073","dermatology","dermatology",3
"1074","dermatology","dermatology",5
"1075","dermatology","dermatology",7
"1076","dermatology","dermatology",4
"1077","dermatology","dermatology",7
"1078","dermatology","dermatology",8
"1079","dermatology","dermatology",14
"1080","dermatology","dermatology",8
"1081","dermatology","dermatology",14
"1082","dermatology","dermatology",12
"1083","dermatology","dermatology",9
"1084","dermatology","dermatology",14
"1085","dermatology","dermatology",7
"1086","dermatology","dermatology",15
"1087","dermatology","dermatology",13
"1088","dermatology","dermatology",13
"1089","dermatology","dermatology",8
"1090","dermatology","dermatology",11
"1091","dermatology","dermatology",13
"1092","dermatology","dermatology",11
"1093","dermatology","dermatology",8
"1094","dermatology","dermatology",8
"1095","dermatology","dermatology",5
"1096","dermatology","dermatology",12
"1097","dermatology","dermatology",9
"1098","dermatology","dermatology",10
"1099","dermatology","dermatology",10
"1100","dermatology","dermatology",8
"1101","dermatology","dermatology",4
"1102","dermatology","dermatology",6
"1103","dermatology","dermatology",6
"1104","dermatology","dermatology",2
"1105","dermatology","dermatology",2
"1106","dermatology","dermatology",2
"1107","dermatology","dermatology",1
"1108","dermatology","dermatology",1
"1109","dermatology","dermatology",1
"1110","Gastroenterology","dermatology",1
"1111","Gynecology","dermatology",1
"1112","Respiratory Medicine","dermatology",1
"1113","Anorectal Surgery","Digestive Oncology Surgery",1
"1114","Digestive Oncology Surgery","Digestive Oncology Surgery",1
"1115","Digestive Oncology Surgery","Digestive Oncology Surgery",1
"1116","Digestive Oncology Surgery","Digestive Oncology Surgery",6
"1117","Digestive Oncology Surgery","Digestive Oncology Surgery",1
"1118","Digestive Oncology Surgery","Digestive Oncology Surgery",2
"1119","Digestive Oncology Surgery","Digestive Oncology Surgery",1
"1120","Digestive Oncology Surgery","Digestive Oncology Surgery",3
"1121","Digestive Oncology Surgery","Digestive Oncology Surgery",1
"1122","Digestive Oncology Surgery","Digestive Oncology Surgery",1
"1123","Digestive Oncology Surgery","Digestive Oncology Surgery",1
"1124","Gastroenterology","Digestive Oncology Surgery",1
"1125","Gastroenterology","Digestive Oncology Surgery",1
"1126","Gastroenterology","Digestive Oncology Surgery",1
"1127","Gastroenterology","Digestive Oncology Surgery",1
"1128","Gastroenterology Surgery","Digestive Oncology Surgery",1
"1129","Vascular Surgery","Digestive Oncology Surgery",1
"1130","Z10 Abdominal Oncology Department II","Digestive Oncology Surgery",1
"1131","Z9 Abdominal Oncology Department","Digestive Oncology Surgery",1
"1132","Emergency Internal Medicine","Emergency Internal Medicine",1
"1133","Emergency Surgery","Emergency Surgery",1
"1134","Emergency Surgery","Emergency Surgery",1
"1135","Emergency Surgery","Emergency Surgery",1
"1136","Emergency Surgery","Emergency Surgery",1
"1137","Emergency Surgery","Emergency Surgery",1
"1138","Emergency Surgery","Emergency Surgery",1
"1139","Emergency Surgery","Emergency Surgery",2
"1140","Emergency Surgery","Emergency Surgery",4
"1141","Emergency Surgery","Emergency Surgery",2
"1142","Emergency Surgery","Emergency Surgery",1
"1143","Emergency Surgery","Emergency Surgery",2
"1144","Emergency Surgery","Emergency Surgery",4
"1145","Emergency Surgery","Emergency Surgery",4
"1146","Emergency Surgery","Emergency Surgery",4
"1147","Emergency Surgery","Emergency Surgery",6
"1148","Emergency Surgery","Emergency Surgery",5
"1149","Emergency Surgery","Emergency Surgery",4
"1150","Emergency Surgery","Emergency Surgery",7
"1151","Emergency Surgery","Emergency Surgery",8
"1152","Emergency Surgery","Emergency Surgery",7
"1153","Emergency Surgery","Emergency Surgery",12
"1154","Emergency Surgery","Emergency Surgery",11
"1155","Emergency Surgery","Emergency Surgery",10
"1156","Emergency Surgery","Emergency Surgery",14
"1157","Emergency Surgery","Emergency Surgery",19
"1158","Emergency Surgery","Emergency Surgery",16
"1159","Emergency Surgery","Emergency Surgery",13
"1160","Emergency Surgery","Emergency Surgery",12
"1161","Emergency Surgery","Emergency Surgery",8
"1162","Emergency Surgery","Emergency Surgery",13
"1163","Emergency Surgery","Emergency Surgery",7
"1164","Emergency Surgery","Emergency Surgery",9
"1165","Emergency Surgery","Emergency Surgery",13
"1166","Emergency Surgery","Emergency Surgery",12
"1167","Emergency Surgery","Emergency Surgery",9
"1168","Emergency Surgery","Emergency Surgery",9
"1169","Emergency Surgery","Emergency Surgery",16
"1170","Emergency Surgery","Emergency Surgery",13
"1171","Emergency Surgery","Emergency Surgery",7
"1172","Emergency Surgery","Emergency Surgery",6
"1173","Emergency Surgery","Emergency Surgery",6
"1174","Emergency Surgery","Emergency Surgery",6
"1175","Emergency Surgery","Emergency Surgery",3
"1176","Emergency Surgery","Emergency Surgery",1
"1177","Emergency Surgery","Emergency Surgery",3
"1178","Emergency Surgery","Emergency Surgery",1
"1179","Emergency Surgery","Emergency Surgery",1
"1180","Emergency Surgery","Emergency Surgery",1
"1181","Pancreatic Surgery","Emergency Surgery",1
"1182","Emergency Ward","Emergency Ward",1
"1183","Cardiology","Endocrinology Department",1
"1184","Cardiology","Endocrinology Department",1
"1185","Cardiology","Endocrinology Department",1
"1186","Cardiology","Endocrinology Department",1
"1187","Cardiology","Endocrinology Department",1
"1188","Cardiology","Endocrinology Department",1
"1189","Cardiology","Endocrinology Department",1
"1190","Cardiology","Endocrinology Department",1
"1191","Cardiology","Endocrinology Department",1
"1192","Comprehensive internal medicine","Endocrinology Department",1
"1193","Endocrinology Department","Endocrinology Department",1
"1194","Endocrinology Department","Endocrinology Department",1
"1195","Endocrinology Department","Endocrinology Department",3
"1196","Endocrinology Department","Endocrinology Department",1
"1197","Endocrinology Department","Endocrinology Department",1
"1198","Endocrinology Department","Endocrinology Department",5
"1199","Endocrinology Department","Endocrinology Department",4
"1200","Endocrinology Department","Endocrinology Department",7
"1201","Endocrinology Department","Endocrinology Department",9
"1202","Endocrinology Department","Endocrinology Department",3
"1203","Endocrinology Department","Endocrinology Department",10
"1204","Endocrinology Department","Endocrinology Department",7
"1205","Endocrinology Department","Endocrinology Department",8
"1206","Endocrinology Department","Endocrinology Department",13
"1207","Endocrinology Department","Endocrinology Department",13
"1208","Endocrinology Department","Endocrinology Department",16
"1209","Endocrinology Department","Endocrinology Department",21
"1210","Endocrinology Department","Endocrinology Department",31
"1211","Endocrinology Department","Endocrinology Department",32
"1212","Endocrinology Department","Endocrinology Department",33
"1213","Endocrinology Department","Endocrinology Department",32
"1214","Endocrinology Department","Endocrinology Department",44
"1215","Endocrinology Department","Endocrinology Department",46
"1216","Endocrinology Department","Endocrinology Department",53
"1217","Endocrinology Department","Endocrinology Department",29
"1218","Endocrinology Department","Endocrinology Department",50
"1219","Endocrinology Department","Endocrinology Department",44
"1220","Endocrinology Department","Endocrinology Department",56
"1221","Endocrinology Department","Endocrinology Department",43
"1222","Endocrinology Department","Endocrinology Department",43
"1223","Endocrinology Department","Endocrinology Department",47
"1224","Endocrinology Department","Endocrinology Department",59
"1225","Endocrinology Department","Endocrinology Department",32
"1226","Endocrinology Department","Endocrinology Department",44
"1227","Endocrinology Department","Endocrinology Department",43
"1228","Endocrinology Department","Endocrinology Department",55
"1229","Endocrinology Department","Endocrinology Department",46
"1230","Endocrinology Department","Endocrinology Department",39
"1231","Endocrinology Department","Endocrinology Department",32
"1232","Endocrinology Department","Endocrinology Department",25
"1233","Endocrinology Department","Endocrinology Department",36
"1234","Endocrinology Department","Endocrinology Department",20
"1235","Endocrinology Department","Endocrinology Department",28
"1236","Endocrinology Department","Endocrinology Department",24
"1237","Endocrinology Department","Endocrinology Department",13
"1238","Endocrinology Department","Endocrinology Department",14
"1239","Endocrinology Department","Endocrinology Department",11
"1240","Endocrinology Department","Endocrinology Department",13
"1241","Endocrinology Department","Endocrinology Department",16
"1242","Endocrinology Department","Endocrinology Department",10
"1243","Endocrinology Department","Endocrinology Department",4
"1244","Endocrinology Department","Endocrinology Department",7
"1245","Endocrinology Department","Endocrinology Department",2
"1246","Endocrinology Department","Endocrinology Department",4
"1247","Endocrinology Department","Endocrinology Department",3
"1248","Gastroenterology","Endocrinology Department",1
"1249","Gastroenterology","Endocrinology Department",1
"1250","Gastroenterology","Endocrinology Department",1
"1251","Gastroenterology","Endocrinology Department",1
"1252","Gastroenterology","Endocrinology Department",1
"1253","Gastroenterology","Endocrinology Department",1
"1254","Nephropathy Department","Endocrinology Department",1
"1255","Nephropathy Department","Endocrinology Department",1
"1256","Nephropathy Department","Endocrinology Department",1
"1257","Neurology","Endocrinology Department",1
"1258","Neurosurgery","Endocrinology Department",1
"1259","Anorectal Surgery","Gastroenterology",1
"1260","Cardiology","Gastroenterology",1
"1261","Cardiology","Gastroenterology",1
"1262","Cardiology","Gastroenterology",2
"1263","Cardiology","Gastroenterology",1
"1264","Cardiology","Gastroenterology",1
"1265","Cardiology","Gastroenterology",1
"1266","Cardiology","Gastroenterology",2
"1267","Comprehensive internal medicine","Gastroenterology",1
"1268","Comprehensive internal medicine","Gastroenterology",1
"1269","Comprehensive internal medicine","Gastroenterology",1
"1270","Comprehensive Surgery","Gastroenterology",1
"1271","Department of Traditional Chinese Medicine","Gastroenterology",1
"1272","Department of Traditional Chinese Medicine","Gastroenterology",1
"1273","Digestive Oncology Surgery","Gastroenterology",1
"1274","Digestive Oncology Surgery","Gastroenterology",1
"1275","Digestive Oncology Surgery","Gastroenterology",1
"1276","Emergency Surgery","Gastroenterology",1
"1277","Emergency Surgery","Gastroenterology",1
"1278","Emergency Surgery","Gastroenterology",1
"1279","Emergency Ward","Gastroenterology",1
"1280","Emergency Ward","Gastroenterology",1
"1281","Gastroenterology","Gastroenterology",1
"1282","Gastroenterology","Gastroenterology",2
"1283","Gastroenterology","Gastroenterology",1
"1284","Gastroenterology","Gastroenterology",2
"1285","Gastroenterology","Gastroenterology",1
"1286","Gastroenterology","Gastroenterology",6
"1287","Gastroenterology","Gastroenterology",2
"1288","Gastroenterology","Gastroenterology",2
"1289","Gastroenterology","Gastroenterology",2
"1290","Gastroenterology","Gastroenterology",2
"1291","Gastroenterology","Gastroenterology",5
"1292","Gastroenterology","Gastroenterology",3
"1293","Gastroenterology","Gastroenterology",7
"1294","Gastroenterology","Gastroenterology",14
"1295","Gastroenterology","Gastroenterology",9
"1296","Gastroenterology","Gastroenterology",10
"1297","Gastroenterology","Gastroenterology",24
"1298","Gastroenterology","Gastroenterology",20
"1299","Gastroenterology","Gastroenterology",22
"1300","Gastroenterology","Gastroenterology",30
"1301","Gastroenterology","Gastroenterology",18
"1302","Gastroenterology","Gastroenterology",25
"1303","Gastroenterology","Gastroenterology",26
"1304","Gastroenterology","Gastroenterology",29
"1305","Gastroenterology","Gastroenterology",19
"1306","Gastroenterology","Gastroenterology",29
"1307","Gastroenterology","Gastroenterology",40
"1308","Gastroenterology","Gastroenterology",39
"1309","Gastroenterology","Gastroenterology",43
"1310","Gastroenterology","Gastroenterology",52
"1311","Gastroenterology","Gastroenterology",51
"1312","Gastroenterology","Gastroenterology",44
"1313","Gastroenterology","Gastroenterology",39
"1314","Gastroenterology","Gastroenterology",36
"1315","Gastroenterology","Gastroenterology",31
"1316","Gastroenterology","Gastroenterology",41
"1317","Gastroenterology","Gastroenterology",39
"1318","Gastroenterology","Gastroenterology",42
"1319","Gastroenterology","Gastroenterology",35
"1320","Gastroenterology","Gastroenterology",43
"1321","Gastroenterology","Gastroenterology",38
"1322","Gastroenterology","Gastroenterology",44
"1323","Gastroenterology","Gastroenterology",45
"1324","Gastroenterology","Gastroenterology",31
"1325","Gastroenterology","Gastroenterology",27
"1326","Gastroenterology","Gastroenterology",19
"1327","Gastroenterology","Gastroenterology",19
"1328","Gastroenterology","Gastroenterology",22
"1329","Gastroenterology","Gastroenterology",19
"1330","Gastroenterology","Gastroenterology",18
"1331","Gastroenterology","Gastroenterology",10
"1332","Gastroenterology","Gastroenterology",10
"1333","Gastroenterology","Gastroenterology",10
"1334","Gastroenterology","Gastroenterology",6
"1335","Gastroenterology","Gastroenterology",5
"1336","Gastroenterology","Gastroenterology",2
"1337","Gastroenterology","Gastroenterology",1
"1338","Gastroenterology Surgery","Gastroenterology",1
"1339","Gastroenterology Surgery","Gastroenterology",1
"1340","Gastroenterology Surgery","Gastroenterology",1
"1341","Gastroenterology Surgery","Gastroenterology",1
"1342","Gastroenterology Surgery II","Gastroenterology",1
"1343","Interventional Radiology","Gastroenterology",1
"1344","Neurology","Gastroenterology",1
"1345","Otolaryngology","Gastroenterology",1
"1346","Pancreatic Surgery","Gastroenterology",1
"1347","Urology","Gastroenterology",1
"1348","V4 Surgery Comprehensive Ward","Gastroenterology",1
"1349","Vascular Surgery","Gastroenterology",1
"1350","Cardiology","Gastroenterology Surgery",1
"1351","Cardiology","Gastroenterology Surgery",1
"1352","Cardiology","Gastroenterology Surgery",1
"1353","Cardiology","Gastroenterology Surgery",1
"1354","Cardiology","Gastroenterology Surgery",1
"1355","Cardiology","Gastroenterology Surgery",1
"1356","Cardiology","Gastroenterology Surgery",1
"1357","Cardiology","Gastroenterology Surgery",1
"1358","Comprehensive internal medicine","Gastroenterology Surgery",1
